food_bank,postcode,website,city,county,Latitude,Longitude
Bridgnorth Food Bank,WV16 4AB,www.bridgnorthfoodbank.co.uk,"Chetton, Ditton Priors, Cleobury North, Neenton, Acton Round, Glazeley, Loughton, Sidbury, Hampton, Burwarton, Morville, Eardington, Astley Abbotts, Billingsley, Bridgnorth, Highley, Aston Botterell, Monkhopton, Tasley, Aston Eyre, Sutton, Woodhill, Nordley, Middleton Priors, Cross Lane Head, The Smithies, Woodlands, Upton Cressett, Middleton Scriven, Deuxhill, Oldbury, Haughton, Chorley, Chelmarsh, Wheathill",Shropshire,52.5108,-2.476105714
Broke Not Broken,KY13 8AY,http://www.brokenotbroken.org/,"Burnside, Kinross, Crook of Devon, Milnathort, Balgedie, Dalqueich, Carnbo, Cleish, Scotlandwell, Rumbling Bridge, Gairney Bank, Middleton, Arlary, Warroch, Drum, Craigow, Coldrain, Kinnesswood, Upper Tillyrie",Fife,56.2054,-3.465305263
Bruntsfield Basics Bank,EH10 4JU,edinburghcitymission.org.uk,"Hillend, Fairmilehead, Morningside",Midlothian,55.9147,-3.204633333
Bute Oasis Food Bank ,PA20 9DG,https://www.buteadvice.org.uk/foodbank,"Mountstuart, Port Bannatyne, Ardmaleish, Kingarth, Ardscalpsie, Ascog, Ardbeg, Rothesay, Ambrismore, Craigmore, Glecknabae, Kilchattan, Shalunt, Stuck, Rhubodach, Glenmore, Kilbride, Drumachloy, Orcadia, Midpark, Kerrycroy, Meikle Grenach, Meikle Kilmory, Piperhall, Stravanan, Upper Ardroscadale",Argyll and Bute,55.7927,-5.053757692
Camden Mobile Food Bank,NW1 1EE,woodgrangebaptist.org.uk,"Euston, Marylebone, Baker Street, Camden Town, St Pancras, Camden Lock, Regents Park, Regent's Park, Euston Square, Somers Town, Mornington Crescent",Greater London,51.5268,-0.147181818
Canaan Trust,NG10 1GR,https://www.facebook.com/longeatonhomeless/,"Sawley, Long Eaton, Sandiacre, New Sawley",Derbyshire,52.8825,-1.287175
Canvey Island Youth Project (Yellow Door),SS8 7BN,www.cyp-yellowdoor.org.uk,"Canvey Island, Leigh Beck",Essex,51.522,0.5809
Caring HandsÂ ,WR11 4AD,www.chands.org.uk,"Salford Priors, South Littleton, Cleeve Prior, Sedgeberrow, Rous Lench, Harvington, Ashton under Hill, Church Lench, Evesham, Offenham, Hinton on the Green, Wickhamford, Badsey, Iron Cross, Honeybourne, Middle Littleton, Atch Lench, Lenchwick, North Littleton, Saintbury, Aldington, Hampton, Bretforton, Norton, Abbot's Salford, Dumbleton",Warwickshire,52.1581,-1.920138462
Carlisle Food Bank,CA1 2DQ,https://www.carlislefoodbank.org.uk/,"Carlisle, Carleton",Cumbria,54.8951,-2.92565
CATCH Cwmtawe Action to Combat Hardship,SA9 2JA,catch-online.org.uk,"Ystalyfera, Ystradowen, Godre'r-graig, Cwmllynfell, Pen-y-cae, Caer-Lan, Abercraf, Cwm-twrch Isaf, Cwmgiedd, Penrhos, Ystradgynlais, Caehopkin, Gurnos, Craig-y-nos, Penwyllt",Neath Port Talbot,51.7672,-3.760806667
"Cathedral Food Bank, Bangor",LL57 1RL,http://cathedralfoodbank.org,"Pont Pen-y-benglog, Tregarth, Llanllechid, Llandygai, Braichmelyn, Bangor, Bethesda, Pentir, Garth, Tal-y-Cae, Tal-y-bont, Rachub, Port Penrhyn, Glasinfryn, Waen-wen, Glan Adda, Gerlan, Crymlyn, Douglas Hill, Penrhos-garnedd",Conwy,53.2072,-4.106675
Central & West inegration Network (Glasgow),G3 6RE,www.cwin.org.uk,Glasgow,Dunbartonshire,55.8651,-4.2576
Central Eltham Youth Project,SE9 5DN,https://www.ceyp.org/,"Mottingham, New Eltham, Eltham, Avery Hill, Well Hall",Greater London,51.4527,0.05428
Centrepoint,W1D 6AE,https://centrepoint.org.uk/,London,Greater London,51.5085,-0.1257
Centrepoint Food Bank,N17 8LZ,https://centrepoint.org.uk/,"Tottenham, West Green, Waltham Forest, Tottenham Hale, White Hart Lane",Greater London,51.6037,-0.07094
Chapters Food Bank,IG3 8TA,http://chaptersfoodbank.org/,Seven Kings,Greater London,51.564,0.0963
Chelwood Food Bank,SK8 5QA,www.chelwoodfoodbankplus.org,"Cheadle, Cheadle Hulme, Heald Green, Gatley",Greater Manchester,53.4,-2.2032
Chelwood Food Bank,SK5 8LS,www.chelwoodfoodbankplus.org,Reddish,Greater Manchester,53.4418,-2.161
Chelwood Food Bank,SK3 9AB,www.chelwoodfoodbankplus.org,Stockport,Greater Manchester,53.4098,-2.1576
Chelwood Food Bank,SK1 1HD,www.chelwoodfoodbankplus.org,Stockport,Greater Manchester,53.4098,-2.1576
Christchurch Food Bank,BH23 1EH,http://www.faithworkswessex.org.uk,"Hurn, Winkton, Hinton, Christchurch, Highcliffe, Burton, Neacroft, Shirley, Hinton Admiral, Avon, Thorney Hill, Mudeford, Ripley, Sopley, Bransgore",Dorset,50.7727,-1.757766667
Churches Foodbank - Forest Gate,E7 8AA,http://www.churchesfoodbank.org.uk/,"Plashet, Forest Gate, Upton, Wanstead Park",Greater London,51.5472,0.026475
Churches Together in the Strettons,SY6 6DQ,https://www.churchstretton.co.uk/,"Hope Bowdler, Leebotwood, Picklescott, Rushbury, Eaton, Acton Scott, Little Stretton, Woolstaston, All Stretton, Ticklerton, Gretton, Cardington, Church Stretton, Marshbrook, Harton, Hatton, Church Preen, Wall under Heywood, Woolston, Wall Bank, Alcaston, Plaish, Enchmarsh, Minton, Upper Affcot, Whittingslow",Shropshire,52.5274,-2.783984615
Clydesdale Food Bank,ML8 4AJ,https://www.facebook.com/clydesdalefoodbank,"Rosebank, Law, Crossford, Braidwood, Milton Lockhart, Carluke, Dalserf, Kilcadzow",South Lanarkshire,55.726,-3.8645625
Colebrook SW Ltd,PL5 1QF,https://www.colebrooksw.org/,"St Budeaux, Tamerton Foliot",Devon,50.4,-4.16135
Comfort Memorial Foodbank For All (CMfFA),MK9 2AH ,www.cmffa.org.uk,Milton Keynes,Buckinghamshire,52.0417,-0.7558
Community Link (Black Country Food Bank),B64 5HA,https://www.blackcountryfoodbank.org.uk/,Old Hill,West Midlands,52.4833,-2.0667
Compassion Food Bank,M14 4SS,www.compassionministries.co.uk,Manchester,Greater Manchester,53.4482,-2.2257
Compliments of The House,SW9 7QE,complimentsofthehouse.org,"Stockwell, Coldharbour Lane, Loughborough Junction",Greater London,51.474,-0.1168
Cornerstone Day Centre - Caritas Diocese of Salford,M15 6JS,https://twitter.com/cdscornerstone?lang=en,Manchester,Greater Manchester,53.4809,-2.2374
Corstorphine Basics Bank,EH12 7SQ,edinburghcitymission.org.uk,Edinburgh,City of Edinburgh,55.9429,-3.285
County Stores Supermarket,ST16 2AJ,https://www.corganisers-stafford.co.uk/county-stores-supermarket/,"Stafford, Castle Bank",Staffordshire,52.8052,-2.1164
Crawley Open House,RH10 1TN,crawleyopenhouse.co.uk,"Copthorne, Crawley Down, Pound Hill, Three Bridges, Turners Hill, County Oak, Worth, Tinsley Green, Crabbet Park",West Sussex,51.1393,-0.119133333
Crookston Community Group,G53 5AS,https://ccg.scot/projects/1260/,Nitshill,Glasgow City,55.8141,-4.3606
Dads House,W8 5EP,http://www.dadshouse.org.uk,"Kensington, High Street Kensington, Holland Park, Hyde Park",Greater London,51.5009,-0.1985
Dads House,W8 5EP,http://www.dadshouse.org.uk,"Kensington, High Street Kensington, Holland Park, Hyde Park",Greater London,51.5009,-0.1985
Darkhouse Food Bank (Black Country Food Bank),WV14 8XH,https://www.blackcountryfoodbank.org.uk/,"Bilston, Bradley, Coseley",West Midlands,52.5667,-2.0771
Dartmoor Community Kitchen Food Bank,TQ13 9BP,https://www.facebook.com/DartmoorCommunityKitchen/,"Lustleigh, Chudleigh, Ilsington, Ashburton, North Bovey, Bovey Tracey, Hennock, Ideford, Widecombe in the Moor, Holne, Buckland in the Moor, Gidleigh, Chudleigh Knighton, Luton, Moretonhampstead, Manaton, Woodland, Trusham, Chagford, Caton, Cator Court, Haytor Vale, Ponsworthy, Rew, Babeny, Landscove, Sanduck, Dunstone, Poundsgate, Brimley, Frenchbeer, Lettaford, Easton, Dartmeet, Sigford, Horridge, Forder Green, Woolston Green, Murchington, Doccombe",Devon,50.6183,-3.68865
Daventry Food Bank (Vineyard Community Church),NN11 4JP,http://www.daventryfoodbank.org.uk,"Lower Shuckburgh, Preston Capes, Charwelton, Daventry, Staverton, Byfield, Moreton Pinkney, Upper Boddington, Norton, Everdon, Braunston, Hellidon, Badby, Welton, Eydon, Catesby, Woodford Halse, Hinton, Aston le Walls, Buckby Wharf, Lower Boddington, West Farndon, Canons Ashby, Whilton, Newnham",Warwickshire,52.2594,-1.179288
Daylight Centre Fellowship- Wellingborough & District Foodbank,NN8 4HP,www.daylightcf.org,"Wilby, Wellingborough",Northamptonshire,52.2868,-0.71175
Depaul UK - Middlesborough,TS1 5AU,www.depaulcharity.org.uk,Middlesbrough,North Yorkshire,54.5762,-1.2348
Divine Rescue Charity,WC1B 3PP,www.barnabascommunityprojects.org,London,Greater London,51.5085,-0.1257
DN7 Community Foodbank,DN7 4HT,https://www.facebook.com/pg/DN7FoodBank/posts/,"Hatfield, Dunsville, Kirk Bramwith, Fishlake, Stainforth, Hatfield Woodhouse, Dunscroft, Braithwaite",South Yorkshire,53.5779,-1.0260625
Dunbar Parish Church Basics Bank,EH42 1GQ,https://www.facebook.com/dunbarfoodbank/,"Skateraw, Belhaven, Dunbar, Stenton, Thorntonloch, Spott, Broxburn, Innerwick, Halls, West Barns, Tyninghame, Pitcox",East Lothian,55.9667,-2.561691667
E1 Foodbank,E1 5NP,Www.aishahhelp.com,"Rotherhithe, Shoreditch, Stepney, Wapping, Whitechapel, Stepney Green, Commercial Road, Aldgate East, Mile End Road, Shadwell, Spitalfields",Greater London,51.5,-0.061772727
Earlsfield Food BankÂ ,SW18 4EH,https://www.facebook.com/EarlsfieldFoodbank,"Earlsfield, West Hill, Southfields, Wandsworth, Wandsworth Town",Greater London,51.4439,-0.1971
East Berwickshire FoodBank,TD14 5LD,https://www.facebook.com/East-Berwickshire-Food-Bank-102259371415679/?__tn__=%2Cd%2CP-R&eid=ARCsX4H8EgGS1HxuOLH6xVd5PdJa5tQ-nM5-GlW4nZm1rnyaMCErD2O-bppc7OtLqhlBNIqWI97vSpmF,"Houndwood, St Abbs, Burnmouth, Eyemouth, Reston, Ayton, Auchencrow, Coldingham, Cairncross, Lumsdaine, Northfield",Scottish Borders,55.8677,-2.158118182
East Worthing Task Force - Food Bank,BN14 7JN,https://eastworthingcovidsupport.wordpress.com/food-bank/,"Broadwater, Findon, North End, High Salvington",West Sussex,50.8289,-0.386625
Eat or Heat,E4 8LT,http://eatorheat.org/,"Chingford, Highams Park, Chingford Green, Hale End, Sewardstone, Chingford Hatch, Gilwell Park",Greater London,51.6303,0.0005
Eat or Heat,E17 4QU,http://eatorheat.org/,"Walthamstow Central, Walthamstow, Blackhorse Road, Upper Walthamstow, Higham Hill",Greater London,51.5868,-0.02048
Edible Links,CV9 2QS,"http://www.hln.btck.co.uk/
https://www.facebook.com/Ediblelinks17/","Austrey, Hurley, Grendon, Baxterley, Mancetter, Atherstone, Baddesley Ensor, Sheepy Magna, Bentley, Wood End, Grendon Common, Ridge Lane, Ratcliffe Culey, Sheepy Parva, Orton-on-the-Hill, Twycross, Norton-Juxta-Twycross, Witherley",Warwickshire,52.6568,-1.561288889
Edinburgh City Mission,EH11 1DS,edinburghcitymission.org.uk,Edinburgh,Midlothian,55.9326,-3.2531
Edinburgh City Mission,EH11 1DS,edinburghcitymission.org.uk,Edinburgh,Midlothian,55.9326,-3.2531
Edlington Community Organisation,DN12 1AB,http://edlingtoncommunityorganisation.wordpress.com,"Conisbrough, New Edlington, Denaby Main, Denaby",South Yorkshire,53.4819,-1.2453
Eggcup,LA1 3QY,https://www.eggcup.org,"Scotforth, Lancaster",Lancashire,54.0167,-2.7915
EK Community Food Bank,G75 9HZ,https://www.calderwoodbaptist.co.uk/FoodBank,"Jackton, Crutherland, Auldhouse",South Lanarkshire,55.7511,-4.1977
EK Community Food Bank,G74 2AU,https://www.calderwoodbaptist.co.uk/FoodBank,"East Kilbride, Thorntonhall, Nerston",South Lanarkshire,55.7641,-4.170033333
EK Community Food Bank,G75 8TT,https://www.calderwoodbaptist.co.uk/FoodBank,"Jackton, Crutherland, Auldhouse",South Lanarkshire,55.7511,-4.1977
EK Community Food Bank,G74 4HG,https://www.calderwoodbaptist.co.uk/FoodBank,"East Kilbride, Thorntonhall, Nerston",South Lanarkshire,55.7641,-4.170033333
EK Community Food Bank,G75 8EY,https://www.calderwoodbaptist.co.uk/FoodBank,"Jackton, Crutherland, Auldhouse",South Lanarkshire,55.7511,-4.1977
EK Community Food Bank,G74 3LW,https://www.calderwoodbaptist.co.uk/FoodBank,"East Kilbride, Thorntonhall, Nerston",South Lanarkshire,55.7641,-4.170033333
EMS Ltd,HU9 3QB,https://www.emsyorkshire.co.uk/,Marfleet,East Riding of Yorkshire,53.7495,-0.2726
Eudaimonia/ Super Kitch,S80 1DL,www.eudaimonia-hmk.com,"Creswell, Whitwell, Hodthorpe, Welbeck Abbey, Netherthorpe, Carburton, Holbeck, Worksop, Rhodesia, Thorpe Salvin",Derbyshire,53.25,-1.17163
f1Ve,MK16 0EA,"www.stmarksmk.com
http://stmarksmk.com/meals/","Gayhurst, Moulsoe, Newport Pagnell, Filgrave, Stoke Goldington, North Crawley, Astwood, Tyringham, Sherington, Lathbury, Chicheley, Broughton, Hardmead",Buckinghamshire,52.1136,-0.708484615
Fair Frome,BA11 1EB,https://localgiving.org/charity/fairfrome/,"Witham Friary, Frome, Berkley, Mells, Hardington, Nunney, Leighton, Trudoxhill, Chantry, Buckland Dinham, Whatley, Holwell, Rudge, Gare Hill, Oldford, West Woodlands, Great Elm, Lullington, Cloford, Tytherington",Somerset,51.1687,-2.351325
FaithNet Food Bank,WF7 5BJ,http://www.southfeatherstonegospelhall.co.uk/community.html,"Ackworth Moor Top, Purston Jaglin, Ackton, Featherstone, High Ackworth",West Yorkshire,53.6696,-1.34368
Families 1st 4 Additional Needs,NE13 7GB,www.families1st4additionalneeds.co.uk,"Hazlerigg, Dinnington, Seaton Burn, Wide Open, New Horton Grange, Brenkley",Tyne and Wear,55.0413,-1.647366667
Fareham Basics Bank,PO16 7XU,friendsofthehomeless.org.uk/,"Portchester, Fareham, Wallington, Funtley",Hampshire,50.8417,-1.155475
FirstBite,SO23 7AB,https://www.facebook.com/cafe.workshops.events/,"Winchester, King's Worthy, Headbourne Worthy",Hampshire,51.0651,-1.314066667
Food Aid - Blidworth,NG21 0PX,https://www.facebook.com/blidraincovid19/,"Edwinstowe, Clipstone, Rainworth, Blidworth, Haywood Oaks, New Clipstone",Nottinghamshire,53.1945,-1.099966667
Food in CommunityÂ ,TQ9 7UU,https://foodincommunity.org/,"Totnes, Moreleigh, Diptford, Harberton, Blackawton, Halwell, Broadhempston, Stoke Gabriel, Cornworthy, East Cornworthy, Millcombe, Staverton, Berry Pomeroy, Shinner's Bridge, East Allington, Dartington, Red Post, Riverford Bridge, Lincombe, Hemborough Post, Cole's Cross, Allaleigh, Belsford, Ashprington, Gara Bridge, Harbertonford, Bickham Bridge, Coombe, Tuckenhay, Littlehempston, Washbourne, Tigley",Devon,50.4311,-3.696409375
Food4U,B73 6DB,http://www.suttonurc.org.uk,Sutton Coldfield,West Midlands,52.5667,-1.8167
foodbank PLUS (Barnabas Community Projects),SY37DN,https://www.urbancommunityprojects.org.uk/camden-mobile-food-bank,,,,
FoodShare,SL6 3DD,http://foodshare.today/,"Taplow, Hurley, White Waltham, Maidenhead, Cookham, Bray, Touchen-End, Burchett's Green, Woodlands Park, Paley Street, Furze Platt, Bray Wick, Hurley Bottom, Holyport, Littlewick Green, Stud Green, Pinkneys Green, Cookham Rise, Cookham Dean, Hitcham",Buckinghamshire,51.533,-0.729595
Freedom Community Project South Normanton,DE55 2AA,https://www.fcgroup.org.uk/south-normanton/,"Alfreton, Morton, Stretton, Tibshelf, Swanwick, Westhouses, Lane End, Shirland, South Normanton, Blackwell, Somercotes, South Wingfield, Wessington, Brackenfield, Higham, Riddings, Fourlane Ends, Ironville, Stonebroom",Derbyshire,53.0961,-1.388221053
Friends of Eastwoods Park,NE42 5DT,https://www.friendsofeastwoodpark.org.uk/,"Ovington, Ovingham, Prudhoe",Northumberland,54.9687,-1.871033333
Friends of the Homeless in Fareham and Gosport,SO31 7LQ,friendsofthehomeless.org.uk/,"Netley, Warsash, Locks Heath, Hound, Bursledon, Swanwick, Sarisbury, Park Gate, Hamble-le-Rice, Lower Swanwick, Old Netley, Burridge",Hampshire,50.8763,-1.313658333
Fusion Housing,HD1 1BA,https://www.fusionhousing.org.uk/,Huddersfield,West Yorkshire,53.649,-1.7842
Glasgow Vineyard,G11 6PW,compassion@glasgowvineyard.org,Partick,Glasgow City,55.8708,-4.3057
Gobe Community & Fitness Activities Centre,M16 7QB,https://www.globecentre.org.uk,Manchester,Greater Manchester,53.4551,-2.2645
Gosport Basics Bank,PO12 1QA,friendsofthehomeless.org.uk/,"Alverstoke, Gosport, Hardway",Hampshire,50.7884,-1.139366667
Govan Community Project,G42 8RS,https://www.govancommunityproject.org.uk/,Glasgow,Dunbartonshire,55.8322,-4.2576
Govan Community Project,G51 3UU,www.govancommunityproject.org.uk,Govan,Glasgow City,55.8633,-4.3124
Grace Food Bank Sheffield,S8 7JB,http://gracefoodbanksheffield.org.uk,"Heeley, Greenhill, Norton, Beauchief",South Yorkshire,53.3613,-1.47815
Granton Basics Bank,EH5 2NW,edinburghcitymission.org.uk,Edinburgh,City of Edinburgh,55.9757,-3.2217
Granville Community Kitchen,NW6 5RA,https://granvillecommunitykitchen.wordpress.com/,"Maida Vale, Kilburn, South Hampstead, West Hampstead, Queen's Park, Kilburn Park, Brondesbury Park, Brondesbury, Kensal Rise",Greater London,51.5274,-0.193188889
GroundWork East,LU1 4BH,http://www.groundwork.org.uk/sites/east,"Caddington, Luton, Slip End, East Hyde, New Mill End",Bedfordshire,51.8662,-0.42528
Growing Faith in Community,M12 5WF,http://www.nanofoodbank.co.uk/,Levenshulme,Greater Manchester,53.4442,-2.1916
Hambleton FoodShare,DL7 8NS,http://hambletonfoodshare.org.uk,"Scruton, Ainderby Steeple, East Cowton, Newby Wiske, Kirkby Fleetham, Leeming Bar, South Otterington, Danby Wiske, Yafforth, Gatenby, North Cowton, Thrintoft, Great Langton, Leeming, Birkby, Romanby, Morton-on-Swale, Londonderry, Thornton-le-Moor, Little Fencote, Streetlam, Hutton Bonville, Great Fencote, Warlaby",North Yorkshire,54.3258,-1.488016667
Healthy Me Healthy Communities,M32 8JA,www.healthymehealthycommunities.co.uk,Stretford,Greater Manchester,53.45,-2.3167
Helensburgh & Lomond Foodbank,G84 7DQ,https://helensburghlomondfoodbank.org/,"Kilcreggan, Shandon, Inverlauren, Rosneath, Helensburgh, Dumfin, Rhu, Blairnairn, Clynder, Daligan, Portincaple, Auchinvennal, Garelochhead, Cove, Mambeg, Camsail, Blairvadach, Balernock, Meikle Rahane, Glenald, Ardpeaton, Stroul, Craigendoran, Camis Eskan, Faslane, Coulport, Finnart, Glenmallan",Argyll and Bute,55.9846,-4.785921429
Helping the Homeless,SW1W 8SU,https://www.helpingthehomeless.org.uk/,London,Greater London,51.5085,-0.1257
High Peak Food bank and Zinc EmployabilityÂ ,SK17 6PT,www.highpeakfoodbank.co.uk/,"Hollinsclough, Longnor, Flash, Newtown, Hulme End, Sheen, Warslow, Upper Elkstone, Fawfieldhead, Buxton, Fairfield, Dove Holes, Hartington, Taddington, Peak Forest, Earl Sterndale, Great Hucklow, Tideswell, Flagg, Little Hucklow, Chelmorton, Upper End, Gradbach, Burbage, Miller's Dale, Heathcote, Coplow Dale, Harpur Hill, Brund, Peak Dale, Pilsbury, King Sterndale, Wheston, Blackwell, Wormhill, Litton, Ecton, Crowdecote, Sparrowpit, Wardlow, Biggin, Grindlow",Staffordshire,53.1956,-1.8237
Highwayhope,M12 4QW,www. Highwayhope.co.uk,Levenshulme,Greater Manchester,53.4442,-2.1916
Himmah,NG7 5AJ,https://www.himmah.co.uk/,Nottingham,Nottinghamshire,52.9536,-1.1505
Hive Hope,ME4 3SR,www.hivehope.btck.co.uk,"Brompton, Chatham",Kent,51.4,0.5306
Holbeach Community Larder & Cafe,PE12 7LL,allsaintsholbeach.org.uk/community-larder/,"Sutton St James, Holbeach Clough, Cowbit, Moulton, Gedney Hill, Moulton Chapel, Sutton Bridge, Holbeach, Whaplode, Whaplode Drove, Fleet, Gedney Dyke, Gedney, Long Sutton, Holbeach Drove, Holbeach St Johns, Lutton, Aswick Grange, Holbeach St Marks, Holbeach St Matthew, Little London, Moulton Seas End, Gedney Broadgate, Sutton Crosses, Fleet Hargate, Dawsmere, Guy's Head, Whaplode St Catherine, Chapelgate, Saracen's Head, Gedney Drove End, Holbeach Bank, Holbeach Hurn, Loosegate, Weston, Sutton St Edmund, Weston Hills, Shepeau Stow",Lincolnshire,52.7442,-0.010465789
Holbeck Food Bank,LS1 4ND,http://holbeckfoodbank.org.uk/,Leeds,West Yorkshire,53.7965,-1.5478
Homeless Pembrokeshire,SA62 4FG,https://www.amandashomelesspembrokeshire.co.uk/,"Dale, Boulston, Porthgain, Crundale, Tiers Cross, Abereiddy, Abercastle, Treffynnon, Lambston, Portfield Gate, Roch, Letterston, Leweston, Middle Mill, Keeston, Puncheston, Llandeloy, Newton, Wiston, Treffgarne, Llanrhian, Ambleston, Little Newcastle, Llangwm, Penycwm, Talbenny, Trecwn, Hook, Rinaston, Ratford Bridge, Wolfsdale, Rudbaxton, Pelcomb Cross, Haroldston West, Tretio, Camrose, Brawdy, Greenway, Wolf's Castle, Hasguard, Walton West, Llethr, Little Haven, Freystrop Cross, Treleddyd-fawr, Pelcomb Bridge, Walwyns Castle, Poyston Cross, Solva, Sandy Haven, Uzmaston, Trefgarn Owen, Granston, Folly, Nolton, Castlebythe, Welsh Hook, Castle Morris, Ford, Rhodiad, Johnston, Scolton, Hayscastle, St Brides, Wallis, Newbridge, Hayscastle Cross, The Rhos, Newgale, Rosepool, Treglemais, Mountain Water, Marloes, Berea, St Ishmael's, North Johnston, Spittal, Llanreithan, Sutton, St David's, Mathry, Whitchurch, Jordanston, Broadway, St Dogwells, Caer Farchell, Broad Haven, Druidston, Trevine, Pope Hill, Rhosson, Tangiers, Tre-ddiog, Croesgoch, Dreenhill, Lower Freystrop",Pembrokeshire,51.7092,-5.031407292
Homeschool Social Enterprise/ Active Christians,WS10 0GB,www.activechristians.org.uk,"Moxley, Wednesbury, King's Hill, Darlaston",West Midlands,52.559,-2.028425
HOP Foodbank,SA2 8HS,N/a,"Ilston, Killay, Dunvant, Upper Killay, Sketty",Swansea,51.6069,-4.04254
Hope Family Arbourthorne,S64 9BE,https://www.facebook.com/hopefamilyarbourthorne/,"Mexborough, Swinton, Adwick upon Dearne, Kilnhurst",South Yorkshire,53.4939,-1.304275
